,Unnamed: 0,property_type,place_name,state_name,lat-lon,price,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_per_m2,expenses,state_code,place_code,property_type_code
0,0,PH,Mataderos,Capital Federal,"-34.6618237,-58.5088387",62000.0,62000.0,55.0,40.0,1550.0,,0,0,0
1,2,apartment,Mataderos,Capital Federal,"-34.6522615,-58.5229825",72000.0,72000.0,55.0,55.0,1309.090909090909,,0,0,1
2,7,apartment,Belgrano,Capital Federal,"-34.5598729,-58.443362",138000.0,138000.0,45.0,40.0,3450.0,,0,1,1
3,8,apartment,Belgrano,Capital Federal,"-34.5598729,-58.443362",195000.0,195000.0,65.0,60.0,3250.0,,0,1,1
4,13,apartment,Palermo Soho,Capital Federal,,111700.0,111700.0,50.0,30.0,3723.333333333334,,0,2,1
5,14,apartment,Palermo Soho,Capital Federal,,147900.0,147900.0,42.0,31.0,4770.967741935484,,0,2,1
6,16,PH,Mataderos,Capital Federal,"-34.6523561177,-58.5016239381",239000.0,239000.0,140.0,98.0,2438.775510204081,,0,0,0
7,19,apartment,Palermo,Capital Federal,"-34.580503566,-58.4058744847",350000.0,350000.0,104.0,96.0,3645.833333333334,,0,3,1
8,21,apartment,Palermo,Capital Federal,"-34.590926,-58.4116653",270500.0,270500.0,118.0,73.0,3705.479452054794,,0,3,1
9,29,apartment,Flores,Capital Federal,"-34.6351179478,-58.4739639408",75000.0,75000.0,43.0,43.0,1744.186046511628,,0,4,1
10,35,apartment,Boedo,Capital Federal,"-34.6217693287,-58.4221081951",145000.0,145000.0,80.0,77.0,1883.1168831168832,,0,5,1
11,38,apartment,Las Cañitas,Capital Federal,"-34.5711496,-58.4232966",480000.0,480000.0,220.0,130.0,3692.307692307693,,0,6,1
12,47,house,Puerto Madero,Capital Federal,"-34.6177194,-58.3620561",70000.0,70000.0,80.0,50.0,1400.0,,0,7,2
13,48,apartment,Balvanera,Capital Federal,"-34.6096748,-58.3986588",240000.0,240000.0,141.0,124.0,1935.483870967742,,0,8,1
14,51,house,Boedo,Capital Federal,"-34.6363209,-58.4107019",550000.0,550000.0,504.0,324.0,1697.5308641975312,,0,5,2
15,52,apartment,Caballito,Capital Federal,"-34.6222111,-58.4391283",110000.0,110000.0,50.0,50.0,2200.0,,0,9,1
16,53,apartment,Caballito,Capital Federal,"-34.6238943143,-58.4468606529",170500.0,170500.0,100.0,46.0,3706.521739130435,,0,9,1
17,54,apartment,Caballito,Capital Federal,"-34.6209278,-58.4458736",220410.0,220410.0,81.0,75.0,2938.8,,0,9,1
18,55,apartment,Caballito,Capital Federal,"-34.6209278,-58.4458736",222780.0,222780.0,81.0,75.0,2970.4,,0,9,1
19,57,store,Belgrano,Capital Federal,"-34.5639725,-58.456535",250000.0,250000.0,30.0,30.0,8333.333333333334,,0,1,3
20,59,apartment,Caballito,Capital Federal,"-34.6287865,-58.4277832",108000.0,108000.0,70.0,67.0,1611.9402985074628,,0,9,1
