,Unnamed: 0,property_type,place_name,lat,lon,price_aprox_usd,surface_total_in_m2,price_usd_per_m2,floor,expenses,description,title,geometry,index_right,dummy_property_type__apartment,dummy_property_type__house,dummy_property_type__store,distSubte,distEscuela,distHospital,distParque,dummy_acondicionado,dummy_amenities,dummy_alarma,dummy_ascensor,dummy_balcon,dummy_baulera,dummy_blindada,dummy_calefaccion,dummy_cancha,dummy_cine,dummy_cochera,dummy_contrafrente,dummy_crédito,dummy_electrógeno,dummy_estrenar,dummy_fitness,dummy_frente,dummy_frio-calor,dummy_guardacoche,dummy_gimnasio,dummy_jacuzzi,dummy_hidromasaje,dummy_hospital,dummy_jardin,dummy_lavarropas,dummy_lavadero,dummy_laundry,dummy_luminoso,dummy_living,dummy_metrobus,dummy_multisplit,dummy_parque,dummy_patio,dummy_parrilla,dummy_pentahome,dummy_pileta,dummy_premium,dummy_piscina,dummy_policlínico,dummy_profesional,dummy_quincho,dummy_refrigeración,dummy_residencial,dummy_reciclado,dummy_pozo,dummy_sauna,dummy_spa,dummy_split,dummy_solarium,dummy_sum,dummy_S.U.M,dummy_subte,dummy_suite,dummy_seguridad,dummy_terraza,dummy_vigilancia,precio_m2_usd,rooms
0,52,apartment,Caballito,-34.6222111,-58.4391283,110000,50,2200.0,,2387.64,"Departamento de 3 Ambientes al Contrafrente. Son 50 M2 totales. Piso 10°. El Edificio cuenta con Grupo Electrógeno. Antigüedad 50 años. Cocina 1.80 X 4.50. Lavadero 1.80 X 1.80, Living-Comedor 3 X 4.50, Dormitorio 2.80 X 3 con placard, Dormitorio 2.50 X 2.60 con placard.Baño Completo. Baulera Independiente en sótano. Expensas $1.350.-No tiene balcón. Vista abierta .NO APTO CRÉDITOExcelente ubicación, a metros del subte Linea ""A"" estación Primera Junta, innumerable cantidad de lineas de colectivo y en cercanías de la estación de tren Sarmiento.El inmueble se encuentra listo para escriturar y está desocupado.Ideal inversor.",CABALLITO 3 AMB. EN VENTA Listo para escriturar,POINT (-58.43912829999999 -34.6222111),0,1,0,0,274.74815482886237,161.7211137531298,533.0307076546518,0.2577978166287068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2200.0,5.0
2,54,apartment,Caballito,-34.6209278,-58.4458736,220410,81,2721.1111111111113,,2387.64,"Excelentes detalles de terminación, y diseño.Gran hall de entrada, y amplios amenities.Cocheras y bauleras optativas.Servicios individuales.  ",Excelencia y Calidad.,POINT (-58.44587360000001 -34.6209278),0,1,0,0,384.7682744699396,173.17907381677932,969.2956702530365,0.1378090186090499,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2721.0,8.0
3,55,apartment,Caballito,-34.6209278,-58.4458736,222780,81,2750.3703703703704,,2387.64,"Excelentes detalles de terminación, y diseño.Gran hall de entrada, y amplios amenities.Cocheras y bauleras optativas.Servicios individuales.  ",Excelencia y Calidad.,POINT (-58.44587360000001 -34.6209278),0,1,0,0,384.7682744699396,173.17907381677932,969.2956702530365,0.1378090186090499,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2750.0,8.0
7,230,apartment,Caballito,-34.610435,-58.443029,445000,158,2816.4556962025317,,2387.64,EXCELENTE 5 AMBIENTES  AL FRENTE 158 M2 . CON COCHERA Y BAULERA.EDIFICIO DE CATEGORÍA.  CON PISCINA. SOLARIUM Y PARRILLA.  PUERTA BLINDADA. SISTEMA DE ALARMAS. DORMITORIO PRINCIPAL CON VESTIDOR Y BAÑO EN SUITE CON  JACUZZI.,Departamento de 5 ambientes en Venta en Caballito,POINT (-58.443029 -34.610435),0,1,0,0,1060.3371050530352,303.5431255215032,490.6646431720088,0.17688748877742494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2816.0,16.0
10,384,apartment,Caballito,-34.6098063,-58.4547167,91000,42,2166.6666666666665,,2387.64,"PAYSANDU 1248 Edificio a estrenar en el corazón de caballito. A mts de Av. Gaona y a 4 cuadras del Cid Campeador en pleno corazón de Caballito. Amplio 1 ambiente con balcón y amplio placard. Cocina incorporada y cómodo baño completo. Edificio con Amenities: SUM, parrillas y solarium con duchas. Sup total: 42,5 m2. Opción cochera desde U$S 21.500.- Entrega: abril 2018. * Se ofrece financiación! *Ahora obtené beneficios asociándote sin costo al Club Openprop en  con nosotros al .OPENPROP Desarrollos Inmobiliarios",Amplio 1 amb con balcón A ESTRENAR -  1 C,POINT (-58.4547167 -34.6098063),0,1,0,0,1621.224754188037,125.585411310108,418.0901635186229,0.4523030053785181,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2167.0,4.0
16,746,apartment,Caballito,-34.6259473144,-58.4328219442,158000,71,2225.3521126760565,2.0,2653.0,"Venta de Departamento 3 AMBIENTES en Caballito.Edificio de 8 pisos. 3 departamentos por piso. 1 ascensor. Unidad con entrada de servicio. Cocina independiente. Agua caliente por termotanque. Calefacción por estufas a gas. Aire acondicionado por split frío/calor (en dormitorio principal). Pisos alfombrados en living, parquet en dormitorios y cerámicos en cocina, lavadero y baño. Lavadero independiente. Baño completo. Baulera. Encargado con vivienda. -  - RAPISARDA PROPIEDADES",DEPARTAMENTO EN VENTA,POINT (-58.4328219442 -34.6259473144),0,1,0,0,247.14952844213113,210.81250026533496,62.84669985715693,0.7886299763637866,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2225.0,7.0
18,790,house,Caballito,-34.610348,-58.4477353,250000,110,2272.7272727272725,,2387.64,"Venta de Casa  en Caballito4 ambientes con patio y terraza,  hermosa zona, muy buena ubicación. Con pequeño local sin bañoSe deja constancia que las medidas, superficies y m2 consignados son aproximados, sujetos a verificación y/o ajuste. El precio del inmueble puede ser modificado sin previo aviso. Fotos de carácter no contractual. Las unidades publicadas estan sujetas a disponibilidad. Goldstein Propiedades srl actua solamente en carácter de comercializadora de los inmuebles ofrecidos.GOLDSTEIN PROPIEDADES SRLAvda. Corrientes 4666Buenos Aires,  -  - GOLDSTEIN PROPIEDADES SRL",CASA EN VENTA,POINT (-58.4477353 -34.61034799999999),0,0,1,0,1267.7381594233884,91.3876126119134,907.737201930013,0.39865793655474674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2273.0,11.0
19,1385,apartment,Caballito,-34.6184909411,-58.4378484306,245000,103,2378.6407766990287,,2387.64,Departamento en venta de 4 ambientes con dependencia integrada en pleno Caballito. Espaciosa cocina y lavadero independiente. Baño completo y dos toilettes. Comodo living/comedor con salida a balcon corrido al contrafrente. Dormitorios con placard de buenas dimensiones. Entrada de servicio. Calefaccion por caldera invividual.Muy luminoso y silencioso.Cochera fija y cubierta.Apto Credito.Excelente ubicacion. A pasos de la estacion de subte Acoyte Linea A. Multiples medios de transporte. Shopping Caballito y complejo Village.,Hermoso 4 ambientes con Dependencia y Cochera fija,POINT (-58.43784843060001 -34.6184909411),0,1,0,0,132.33414070400804,86.99132629915282,188.77894818692445,0.2489126222917163,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2379.0,10.0
21,1774,apartment,Caballito,-34.61017227,-58.44776154,159000,68,2338.235294117647,4.0,2387.64,"Muy lindo dúplex, distribuido en 52 mt2. Cocina con living incorporado, baño completo, muy lindo y con 1 año de antigüedad. Habitación con placard empotrado, pisos flotantes, muy luminoso dpto. Agua caliente por caldera, aire acondicionado. Dispone cochera. Edificio con amenities.LISBOA INMOBILIARIA Avda. del Libertador 2687 Olivos - Bs As - Argentina  y rotativas ",U$D 159.000 - Departamento en Venta - Dr N Repetto     1041,POINT (-58.44776154 -34.61017227),0,1,0,0,1286.0640463695327,108.23883823089027,907.0459366009576,0.41041846449772623,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2338.0,7.0
22,1781,apartment,Caballito,-34.61087036,-58.45410919,85000,40,2125.0,,2387.64,"Con un Total de 40m2. Living/Comedor de 4,80m x 3,00 m c/pisos de parquet pulidos y plastificados, estufa de tiro balanceado. Cocina semi-integrada a gas de 1,75m x 3,20ms,  c/muebles completos, ventana, conexión para lavarropas y barra desayunadora. Un Dormitorio de 2,56m x 4,45m c/amplio placard, ventanas y pisos de parquet pulidos y plastificados. Un baño completo de 2,00m x 1,50m. Ubicado en pleno caballito, a media cuadra de av. Gaona, 6 cuadras del Cid Campeador y a 3 cuadras de plaza Irlanda.",U$D 85.000 - Departamento en Venta - Paysandu     1100,POINT (-58.45410919 -34.61087036),0,1,0,0,1491.247022058041,130.558549910064,374.7493516613438,0.39701960755528215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2125.0,4.0
24,2273,apartment,Caballito,-34.61769104,-58.44923782,97000,35,2771.4285714285716,9.0,2387.64,*Con renta hasta agosto/17*. Excelente monoambiente en 5º piso al contrafrente con balcón y cochera fija descubierta. Muy luminoso. Sólo 3 años de antigüedad. Orientación noreste. Cocina americana equipada con lavadero incorporado. Baño completo. Equipo de aire acondicionado split frío-calor instalado. Edificio con amenities: piscina y solarium. Posesión inmediata.,U$D 97.000 - Departamento en Venta - Paysandu     463,POINT (-58.44923782 -34.61769104),0,1,0,0,650.0210073053647,125.70285568468073,925.5204544067321,0.4643447825970853,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2771.0,4.0
27,3918,apartment,Caballito,-34.61975479,-58.43701553,96000,40,2400.0,,2387.64,2 ambientes integramente reciclado con materiales de 1ra. calidad. En el corazón de Caballito. A 150 metros del cruce de las Avenidas Acoyte y Rivadavia. A metros de shoping Caballito y Village cinema. Baulera. Impecable. Expensas $ 750. Venta no condicionada.,U$D 96.000 - Departamento en Venta - ,POINT (-58.43701553 -34.61975479),0,1,0,0,172.27367721944972,80.55345193171615,198.6515441281809,0.24579108424696305,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2400.0,4.0
28,3956,house,Caballito,-34.61399841,-58.43251419,96000,48,2000.0,,2387.64,Calido 2 ambientes muy luminosos al frente sin expensas  c/baulera-Baño completo c/hidromasaje-Dormitorio c/placard empotrado de pared a pared-Living comedor de generosas dimensiones con cocina integrada-Refaccionado a nuevo. Excelente ubicación: 2 cuadras subte A y 4 cuadras del parque Rivadavia y Centenario.,U$D 96.000 - Tipo casa PH en Venta - Bogota     100,POINT (-58.43251419 -34.61399841),0,0,1,0,307.21234456220935,92.96502773022307,561.9501901504752,0.2892022621761339,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2000.0,5.0
29,3957,house,Caballito,-34.61297226,-58.43281555,96000,48,2000.0,,2387.64,Calido 2 ambientes muy luminosos al frente sin expensas  c/baulera-Baño completo c/hidromasaje-Dormitorio c/placard empotrado de pared a pared-Living comedor de generosas dimensiones con cocina integrada-Refaccionado a nuevo. Excelente ubicación: 2 cuadras subte A y 4 cuadras del parque Rivadavia y Centenario.,U$D 96.000 - Tipo casa PH en Venta - Bogota     100,POINT (-58.43281555 -34.61297226),0,0,1,0,392.29708221827246,30.92052729638049,536.1214556725289,0.4056336958645354,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2000.0,5.0
33,4750,apartment,Caballito,-34.620367,-58.438849,269000,115,2339.1304347826085,,2387.64,"Corredor Responsable: Hernan Perrone - C.U.C.I.C.B.A 2792Contacto: Javier Bonamassa - MLS ID # 151100-100Excelente piso de 4 ambientes en ochava a 1 cuadra de AV. Rivadavia y a dos de Primera Junta. El departamento consta con tres dormitorios, un living comedor amplio, cocina con comedor diario independiente y lavadero independiente. A su vez, cuenta con dos baños completos. Dos balcones y un ventanal en la ochava permite que el departamento sea muy luminoso.  Cuenta con dos AA acondicionados frío en dormitorio principal y sala de estar. Expensas $ 2.200.  Funcional, bien ubicado, luminoso, cómodo.  OPORTUNIDAD ",4 AMB en Caballito. APTO CREDITO,POINT (-58.438849 -34.620367),0,1,0,0,213.6413013370535,152.710424461772,363.3466025117369,0.2363892182604912,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2339.0,12.0
