state_name,place_name,m2_Desde,m2_Hasta,Valor_usd
Capital Federal,Agronomía,0,99,1980
Capital Federal,Agronomía,100,200,1730
Capital Federal,Agronomía,201,9999999,1580
Capital Federal,Almagro,0,99,2140
Capital Federal,Almagro,100,200,1910
Capital Federal,Almagro,201,9999999,1650
Capital Federal,Balvanera,0,99,1940
Capital Federal,Balvanera,100,200,1660
Capital Federal,Balvanera,201,9999999,1540
Capital Federal,Barracas,0,99,1960
Capital Federal,Barracas,100,200,1780
Capital Federal,Barracas,201,9999999,1590
Capital Federal,Barrio Norte,0,99,2920
Capital Federal,Barrio Norte,100,200,2430
Capital Federal,Barrio Norte,201,9999999,2210
Capital Federal,Belgrano,0,99,2920
Capital Federal,Belgrano,100,200,2430
Capital Federal,Belgrano,201,9999999,2210
Capital Federal,Boedo,0,99,2070
Capital Federal,Boedo,100,200,1930
Capital Federal,Boedo,201,9999999,1780
Capital Federal,Caballito,0,99,2590
Capital Federal,Caballito,100,200,2230
Capital Federal,Caballito,201,9999999,2070
Capital Federal,Chacarita,0,99,2160
Capital Federal,Chacarita,100,200,2020
Capital Federal,Chacarita,201,9999999,1840
Capital Federal,Coghlan,0,99,2420
Capital Federal,Coghlan,100,200,2020
Capital Federal,Coghlan,201,9999999,1840
Capital Federal,Colegiales,0,99,2690
Capital Federal,Colegiales,100,200,2030
Capital Federal,Colegiales,201,9999999,1530
Capital Federal,Constitución,0,99,1720
Capital Federal,Constitución,100,200,1560
Capital Federal,Constitución,201,9999999,1400
Capital Federal,Flores,0,99,1830
Capital Federal,Flores,100,200,1660
Capital Federal,Flores,201,9999999,1480
Capital Federal,Floresta,0,99,1780
Capital Federal,Floresta,100,200,1480
Capital Federal,Floresta,201,9999999,1350
Capital Federal,La Boca,0,99,1550
Capital Federal,La Boca,100,200,1380
Capital Federal,La Boca,201,9999999,1300
Capital Federal,Liniers,0,99,1710
Capital Federal,Liniers,100,200,1590
Capital Federal,Liniers,201,9999999,1460
Capital Federal,Mataderos,0,99,1650
Capital Federal,Mataderos,100,200,1550
Capital Federal,Mataderos,201,9999999,1410
Capital Federal,Monte Castro,0,99,1750
Capital Federal,Monte Castro,100,200,1650
Capital Federal,Monte Castro,201,9999999,1520
Capital Federal,Montserrat,0,99,1850
Capital Federal,Montserrat,100,200,1710
Capital Federal,Montserrat,201,9999999,1550
Capital Federal,Nueva Pompeya,0,99,1380
Capital Federal,Nueva Pompeya,100,200,1560
Capital Federal,Nueva Pompeya,201,9999999,1140
Capital Federal,Nuñez,0,99,2210
Capital Federal,Nuñez,100,200,1930
Capital Federal,Nuñez,201,9999999,1680
Capital Federal,Palermo,0,99,3240
Capital Federal,Palermo,100,200,2410
Capital Federal,Palermo,201,9999999,1850
Capital Federal,Parque Avellaneda,0,99,1590
Capital Federal,Parque Avellaneda,100,200,1330
Capital Federal,Parque Avellaneda,201,9999999,1210
Capital Federal,Parque Chacabuco,0,99,1860
Capital Federal,Parque Chacabuco,100,200,1720
Capital Federal,Parque Chacabuco,201,9999999,1590
Capital Federal,Parque Chas,0,99,2190
Capital Federal,Parque Chas,100,200,1830
Capital Federal,Parque Chas,201,9999999,1660
Capital Federal,Parque Patricios,0,99,1670
Capital Federal,Parque Patricios,100,200,1570
Capital Federal,Parque Patricios,201,9999999,1450
Capital Federal,Paternal,0,99,1840
Capital Federal,Paternal,100,200,1690
Capital Federal,Paternal,201,9999999,1570
Capital Federal,Puerto Madero,0,99,5480
Capital Federal,Puerto Madero,100,200,5260
Capital Federal,Puerto Madero,201,9999999,5030
Capital Federal,Recoleta,0,99,2900
Capital Federal,Recoleta,100,200,2610
Capital Federal,Recoleta,201,9999999,2240
Capital Federal,Retiro,0,99,3100
Capital Federal,Retiro,100,200,2730
Capital Federal,Retiro,201,9999999,2390
Capital Federal,Saavedra,0,99,2150
Capital Federal,Saavedra,100,200,1800
Capital Federal,Saavedra,201,9999999,1640
Capital Federal,San Cristóbal,0,99,1920
Capital Federal,San Cristóbal,100,200,1760
Capital Federal,San Cristóbal,201,9999999,1670
Capital Federal,San Nicolás,0,99,2110
Capital Federal,San Nicolás,100,200,1910
